Temperature [20 C],Worm Strain,L4,Date Dead (Or Incident),Age at Death [D],Frequency [#],"Censor (yes =1, no = 0)"
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,10.09.2020,10.0,13.0,1.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,10.09.2020,10.0,4.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,11.09.2020,11.0,4.0,1.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,11.09.2020,11.0,1.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,15.09.2020,15.0,5.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,18.09.2020,18.0,2.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,21.09.2020,21.0,7.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,23.09.2020,23.0,8.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,24.09.2020,24.0,1.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,25.09.2020,25.0,1.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,28.09.2020,28.0,1.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,30.09.2020,30.0,10.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,02.10.2020,32.0,9.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,05.10.2020,35.0,10.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,07.10.2020,37.0,3.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,09.10.2020,39.0,1.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO and 1 mM Auxin on day 10,31.08.2020,12.10.2020,42.0,1.0,0.0
