Temperature [20 C],Worm Strain,L4,Date Dead (Or Incident),Age at Death [D],Frequency [#],"Censor (yes =1, no = 0)"
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,10.09.2020,10.0,19.0,1.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,10.09.2020,10.0,5.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,11.09.2020,11.0,9.0,1.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,11.09.2020,11.0,6.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,15.09.2020,15.0,27.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,18.09.2020,18.0,48.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,21.09.2020,21.0,71.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,23.09.2020,23.0,37.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,24.09.2020,24.0,6.0,0.0
20.0,RAF2181 DAF2degron Top-coat 0.25% DMSO on day 10,31.08.2020,25.09.2020,25.0,4.0,0.0
